keys,en,bg
PLAY,PLAY,ИГРАЙ
SETTINGS,SETTINGS,НАСТРОЙКИ
QUIT,QUIT,ЗАТВОРИ
CREDITS,CREDITS,БЛАГОДАРНОСТИ
CREATE_NEW_WORLD,Create New World,Създай Нов Свят
WORLD_NAME,World Name,Име на Света
CREATE,CREATE,СЪЗДАЙ
DELETE,DELETE,ИЗТРИЙ
LANGUAGE,LANGUAGE: ,ЕЗИК: 
VOLUME,VOLUME: ,ЗВУК: 
MODS,MODS,МОДИФИКАЦИИ
LOADING,LOADING,ЗАРЕЖДАНЕ
CHOOSING_SPAWN_POINT,CHOOSING SPAWN POINT,ИЗБИРАНЕ НА НАЧАЛНА ТОЧКА
PLACING_OBJECTS,PLACING OBJECTS,ПОСТАВЯНЕ НА ОБЕКТИ
GENERATING_THE_FOREST,GENERATING THE FOREST,ГЕНЕРИРАНЕ НА ГOРАТА
FINISHING,FINISHING,ЗАВЪРШВАНЕ
ADD_MOD,Add Mod,Добави Мод
ENABLE,ЕNABLE,ВКЛЮЧИ
DISABLE,DISABLE,ИЗКЛЮЧИ
REMOVE,REMOVE,ПРЕМАХНИ
CANCEL,CANCEL,ОТКАЗ
SAVE,SAVE,ЗАПАЗИ
SKIN_CUSTOMIZATION,SKIN CUSTOMIZATION,ПЕРСОНАЛИЗАЦИЯ НА ВИДА
HAIR,HAIR,КОСА
SKIN,SKIN,КОЖА
SHIRT,SHIRT,БЛУЗА
RESET_TO_DEFAULT,Reset to Default,Върни по подразбиране
RESUME,Resume,Обратно към Играта
SAVE_AND_QUIT,Save and Quit,Запази и Излез
RESTART_WARNING_TITLE,Please Restart Your Game,Моля Рестартирайте Играта си
RESTART_WARNING_MESSAGE,Please restart your game in order to apply all changes!,"Моля рестартирайте играта си, за да приложите всички промени!"
WARNING,WARNING!,ПРЕДУПРЕЖДЕНИЕ!
CHECKSUM_ERROR,"This world appears to be modified manually, doing so might result some unexpected results.","Изглежда този свят е модифициран ръчно, правенето на това може да доведе до някои неочаквани резултати."
VERSION_ERROR,"This world appears to be created in a newer version of the game, it might not work properly.","Изглежда този свят е създаден в по-нова версия на играта, може да не работи правилно."
MODDED_WORLD_WARNING,"This world appears to be modded, it might not work properly.","Изглежда този свят е модифициран, може да не работи правилно."
MOD_FOR_DIFFERENT_VERSION_WARNING,"This mod appears to be made for a different version of the game, it might not work properly.","Изглежда, че този мод е направен за друга версия на играта, може да не работи правилно."
I_KNOW_WHAT_I_AM_DOING,"I know what I'm doing",Аз знам какво правя
CONTROLS,CONTROLS,КОНТРОЛИ
NEXT_OBJECTIVE,"NEXT OBJECTIVE:","СЛЕДВАЩА ЦЕЛ:"
HUNGER,"HUNGER","ГЛАД"
HEALTH,"HEALTH","ЗДРАВЕ"
THIRST,"THIRST","ЖАЖДА"
MOVEMENT_OBJECTIVE_DESCRIPTION,"Use CONTROL(Up), CONTROL(Left), CONTROL(Down) and CONTROL(Right) to move","Използвайте CONTROL(Up), CONTROL(Left), CONTROL(Down) и CONTROL(Right), за да се движите"
SPRINT_OBJECTIVE_DESCRIPTION,"Use CONTROL(Sprint) to sprint","Използвайте CONTROL(Sprint), за да тичате"
INTERACT_OBJECTIVE_DESCRIPTION,"Use CONTROL(Interact) to interact with objects","Използвайте CONTROL(Interact), за да взаимодействате с обекти"
STONES_AND_ROCKS_OBJECTIVE_DESCRIPTION,"Collect 10 sticks and 10 rocks","Съберете 10 пръчки и 10 камъка"
CRAFTING_MENU_OBJECTIVE_DESCRIPTION,"Use CONTROL(OpenCraftingUI) to open the crafting menu","Използвайте CONTROL(OpenCraftingUI), за да отворите менюто за изработка"
CRAFT_BASIC_AXE_OBJECTIVE_DESCRIPTION,"Craft a basic axe","Изработете основнa брадва"
GATHER_WOOD_OBJECTIVE_DESCRIPTION,"Collect 2 wood","Съберете 2 дърва"
WORKBENCH_OBJECTIVE_DESCRIPTION,"Craft a workbench and use CONTROL(Place) to place it.","Изработете работна маса и използвайте CONTROL(Place), за да я поставите."
WATER_OBJECTIVE_DESCRIPTION,"Craft a waterskin and use CONTROL(Interact) to collect water","Изработете мех за вода и използвайте CONTROL(Interact), за да съберете вода"
FOOD_OBJECTIVE_DESCRIPTION,"Obtain cooked food","Сготвате храна"
